	Date	user_id	comments
0	June 21, 2004 3:00AM	badtoy	"1) Because it's fun

2) because it's free

3) Because it's good to do lots of research before commiting a quarter of your monthly budget to a product you depend on for transportation."
1	June 21, 2004 10:21PM	bodble2	"for car guys (& gals), it's the thrill of the hunt. The purchase itself is merely the culmination of the process, and the impetus to start the next hunt! We're serial-car shoppers. And like serial-anything, we're biologically-wired to get turned on by the lure of the hunt.

The fun is all in the hypothesization, visualization, research, viewing, auto shows, discussions, test-drives, and more research, etc, etc."
2	June 22, 2004 3:37AM	stickguy	"I just love cars, and hav esince I was a little kid. I had a subscription to Car and Driver and Motor trend when I was 10, if that gives a clue.

I have had an assortment of cars over the years, but continue looking no matter how recently I bought. I don't usually buy right away, but keep looking anyway.

It's part hobby, part addiction, but I will look at anything, anywhere. I usually get fixated on one thing for a while, until the next set of wheels catches my eye.

If NJ didn't have a 6% sales tax, and rediculous DMV and insurance fees (and I had more garage space), I would probably have a revolving door of odd wheels going most of the time. My wife woldn't appreciate it, but I consider that her failing, not mine!"
3	June 23, 2004 12:18AM	anonymousposts	"I recently tallyed up our purchases and came to a grand total of 34 cars in 9 years. I think I am addicted to car shopping period. I get excited when coworkers are looking for cars because I get to help them look and give them advice.

I defintely need a cheaper hobby. For anyone who is interested here is my list .. in no particular order.

1991 Toyota MR2 Turbo
1990 Toyota Tercel
1982 Toyota Tercel SR5
1987 Toyota Celica GTS
1987 & 1988 Toyota Corolla FX16 GTS
1997 Toyota RAV4 2 door

1991 Nissan 300ZX TT

1989 Honda Civic wagon
1993 Honda Civic EX coupe
1996 Honda Civic EX sedan
1998 Honda Civic EX sedan
(2) 2000 Honda Civic SI's
(2) 2002 Honda Civic SI's
2003 Honda Civic SI
1991 Honda Accord EX sedan
1992 Honda Accord EX sedan
1999 Honda Accord EX sedan
2001 Honda Accord EX V6 coupe
2003 Honda Accord EX-L coupe
2004 Honda Accord EX-L sedan
2004 Honda Odyssey EX-RES

1993 Acura Vigor
1990 Acura Integra
1991 Acura Integra
1992 Acura Integra
1994 Acura Integra

1995 Lexus GS300
1994 Lexus LS400

2000 Chevrolet Silverado

1997 Dodge Dakota

2001 Mazda Protege ES"
4	June 23, 2004 2:05AM	stickguy	"I'm also the designated car man in the office (and neighborhood). Many people know to talk to me before they do something, or I get mad at them. I have actually gone with a few people to negotiate the deal, or at least help out (somewhere between a third base coach and voice of reason).

And man, do I love those test drive coupons. Get some pretty good stuff that way."
5	June 23, 2004 2:15AM	stickguy	About time you arrived Mathias. We've been expecting you.
6	June 23, 2004 2:18AM	anonymousposts	or does it drive other people nuts when people ask for advice about what to buy and how much to pay and then go out and finance a used Explorer Sport for 66 months @ $500 per month (true story)?
7	June 23, 2004 2:21AM	stickguy	I learned a long time ago that you can't protect people from themselves. I offer advice and/or assistance, and if they choose to ignore it, more power to them. Just don't complain to me later on about your crappy car or unaffordable payments.
8	June 23, 2004 2:32AM	anonymousposts	"CCB syndrome or does this make sense?

I have a 04 EX-L Accord right now. I can buy a 97 Infiniti I30 for $4,000. Does it make sense to trade/sell the Accord for this car and save approximately $15,000 or should I keep the Accord and try to hang on to it for 10 years? The Accord is undoubtedly safer and gets better gas mileage. The insurance will probably be a wash .. the Accord is only $250 every 6 months. But is the Accord $15,000 safer and more economical than a nice, clean I30?

So is this common sense or CCB syndrome?

I should note that we will still have a 2004 Ody to use for family duty and a 03 Civic Si for commuter duty. The Accord is used for trips when one of us have the baby or short trips around town. The I30 would take the Accord's spot and be used for the same purposes."
9	June 23, 2004 2:47AM	stickguy	"probably CCB, although wether you save money depends on how reliable the i30 is.

At this point, you will probably be better of fin the long run by keeping the Accord for 10 years, instead of buying another car every 1-2 years. But, that would be much less fun."
