	Date	user_id	comments
0	June 10, 2019 11:56PM	sda	Did he buy it at an Audi dealer? Are they telling him to pound sand? Hopefully they will take care of it.
1	June 11, 2019 12:06AM	henryn	"I'm surprised no one else has addressed this. Basically, a failed O2 sensor will not put a car into ""limp mode"". This is ""to the best of my knowledge"", supplemented by a quick google search and 5 minutes of reading.

Certainly my T&C did not go into limp mode when the O2 sensor failed. And down through the years, I have helped quite a few with bad O2 sensors, and I do not recall any of them going into limp mode.

And ""would not drive"" does not compute. ""Limp mode"" is short hand for ""limp home mode"". The car will still drive, but you will have reduced power.

I suspect your ""friend"" misrepresented things."
2	June 11, 2019 12:46AM	roadburner	I loved my 1975.
3	June 11, 2019 12:55AM	28firefighter	"Not really looking to argue with you - he is a friend and given the pictures from the flatbed I don’t believe he was intentionally putting on a performance. Dealer replaced the O2 sensor and all was well. 

It was bought private party. "
4	June 11, 2019 1:20AM	qbrozen	I agree with what you guys are saying, but, at the same time .... Audi. Nuff said.
5	June 11, 2019 1:31AM	Sandman6472	"So far, our 2015 A3 has been flawless. She owns it and has almost 48K on the clock. I usually don't drive it, just easier that way. If something happens, better I'm not the one at the wheel. It's been much more reliable than my Golf though!
Seriously, thinking of going back to ""cheap to keep"" come the end of the year. I like a warranty, so need to get something with a longish one and something that's under 175""."
6	June 11, 2019 2:19AM	28firefighter	"Punch for me. But it isn’t a car and doesn’t have a motor. 

Think I mentioned that I WFH full-time and when we bought our house 18 months ago, the plan was to use the “formal” dining room as my office. Only problem was it wasn’t enclosed and I’ve just had things in the open. 

3 months ago we custom ordered a set of French doors to enclose the office that would allow us to retain the natural light we get through the window in that room and match the house like it was from new. 

May not seem like much, but trying to find doors to fit a nearly 8x8 opening is harder than you’d think. 

Voila: 


*if you’re curious, the plastic zip tie on the bottom left is part of the baby gate system. "
7	June 11, 2019 2:32AM	henryn	"Not really looking to argue with you - he is a friend and given the pictures from the flatbed I don’t believe he was intentionally putting on a performance. Dealer replaced the O2 sensor and all was well. 

It was bought private party. 

-==-=-=-=-=-=-=- end quoted material =-=-=-=-=-=-

It was not my intention to get into an argument, and if my statements appeared that way, then I apologize."
8	June 11, 2019 2:45AM	pensfan83	Looks great @28firefighter
9	June 11, 2019 2:49AM	28firefighter	Can you make out the second picture in? My favorite city. 
10	June 11, 2019 2:55AM	mb_enthusiast	I went to check out a 2016 Cayenne GTS, 2019 Cayenne S, and 2019 Macan S. I hated the 2016 Cayenne GTS. I felt that the 2019 Cayenne S was a ripoff and didn't handle much better than my Q8 or really much of anything else on that platform, but definitely better than the 2016 Cayenne. I really liked the Macan S. Are Porsches worth it?
11	June 11, 2019 2:58AM	mb_enthusiast	"Can you make out the second picture in? My favorite city. 
Looks like Pittsburgh to me."
12	June 11, 2019 2:59AM	28firefighter	Nailed it. 
13	June 11, 2019 3:14AM	pensfan83	"Nice!

Three Rivers Arts Fest is going on now, tomorrow I'm planning to take an actual lunch and wander over to the point."
14	June 11, 2019 3:49AM	stickguy	"nice looking doors. We have a similar set up (standard center hall colonial) where the ""formal"" LR is to the right as you come in the door, behind the stairs, with the opening, well, open. Useless room. We have a desk (and desktop PC) that we never use, and a couch that gets sat on at Thanksgiving maybe. Would be much better set-up like yours, with doors to create an office space. Even though it is probably 2x as big as it needs to be. If I was able to redesign it, I would make it a more compact office in the front, and add the rest to the family room that is behind it.

easier to just move of course and get what I want!"
15	June 11, 2019 3:49AM	nyccarguy	Since we are on a Pittsburgh Lovefest, my 10 year old son’s Flag Football Team won the league championship on Sunday!  His team?  Obligatory trophy pic:
16	June 11, 2019 3:53AM	corvette	"Same, even though I file single--that's going to be a common refrain for a lot of the middle class. Really reduces the potential value of the mortgage interest deduction for a lot of people. On the other hand, my fixed interest rate on my primary residence is something like 3.75%, so not awful even if it's not deductible.

A lot of the state-specific deductions in our fair state's income tax got eliminated in 2018, too.

Looking at the last few years of my late, widowed, great-aunt's tax returns, she paid around $6-7,000 in federal taxes and close to zero state with an AGI of about $55,000 consisting of mostly taxable SS benefits, interest income, a pension, and some state tax-exempt bonds. My goal is zero fed and state tax by the time I stop working and draw SS... fortunately, I have quite a long time to plan that!"
17	June 11, 2019 4:02AM	stickguy	my goal is to have so much money flowing in when I retire I need 2 accountants to keep track of it all. Sadly, I don't think that is likely to happen.
18	June 11, 2019 4:09AM	corvette	LOL, yes, obviously I want that with the zero taxes!
19	June 11, 2019 4:20AM	28firefighter	Now now, @nyccarguy, I never said I was a Pittsburgh sports fan. I still bleed green. 
20	June 11, 2019 11:40AM	au1994	"Our X6 went into 'reduced power' mode once. It was still fine and safe to drive, IE would do 60 just labored to do it. Pulled off and turned it off and on and it was fine.

My 335 convertible had a water pump issue and went into that mode and I pulled over and left it. It wouldn't do 30. Not that I would have wanted to run it with a bum water pump anyway. 30 would get you flattened around here."
21	June 11, 2019 11:56AM	kyfdx	"@28firefighter Nice doors!
@nyccarguy Cute kid!

@corvette Zero taxes? Hilarious. The KY state changes have definitely not helped seniors. My 91 yr old uncle owed state income taxes for the first time in years. Also, once RMDs hit when you are 70? If you've been a big saver and user of 401K and traditional IRAs, you are going to get a huge tax bill, each year. I'm starting to see why so many people move to FL, where there is no state income tax. Still trying to figure that out (but, nine years left until RMDs)"
22	June 11, 2019 1:31PM	Sandman6472	"Nice doors...and stairs. Gave up stairs over 30 years ago when we sold the townhouse. Now, so glad we have a one story home.
RMD's I think have to start once one is 70 and 1/2 but would have to ask my CPA wife to find out for sure. I just hope I make it to that age so I can start pulling out some funds. Looking to start putting more into muni bonds so if I do pass earlier than I'd like, the kids will have something. Not really necessary to leave them anything, but since my grandma and dad did for me, feel I should do the same for my 3 no matter how large or small. Since I'll be turning 65 later this year, have a lot to think about such as Medicare and deciding how long I stay at Hertz. Thinking that mid 2020 might just be the right time to make a quiet exit.
And hoping to move by the end of 2020 or early 2021 up to central or southwest Florida. Getting way to crowded down here...been here almost 50 years!"
23	June 11, 2019 1:36PM	marcogallo1986	QV hang. In there! We are all hear for you!
24	June 11, 2019 1:47PM	marcogallo1986	 Welcome to the group  NB  enthusiast you’re not far off from my age awesome there’s a few others in here to awesome we all anymore it’s all in one way or another  
25	June 11, 2019 2:40PM	corvette	@kyfdx I’ve been doing Roth conversions for a while. Didn’t do any last year because my income was abnormally high, but every little bit helps. They are talking about raising the RMD age to 72. 
26	June 11, 2019 3:02PM	kyfdx	"We've been doing some Roth conversions. Unfortunately, KY dropped the exemption for retirement income from $41K to $31K. I can still fit some conversion in that window, without triggering state income taxes, but my wife's pension puts her over the limit. That reduces some of the incentive for doing that.

Federal income taxes are very low, in general. But, if you get a big investment return in one year, it just kills you."
27	June 11, 2019 3:12PM	ab348	"Saab enthusiasts take note!

YOU can own the very last Trollhatten-built Saab 9-3!!!

Of course you might never be able to drive it and have to keep it in climate-controlled storage for 40 years to get your investment back, but still...

https://www.hemmings.com/blog/2019/06/11/the-final-saab-story-nevs-to-auction-the-last-trollhattan-built-9-3"
28	June 11, 2019 4:19PM	Sandman6472	"Need to start doing the Roth conversions but figure I'll wait till I retire again and then start since our income will be lower.
The Medicare issue is complex as my government health insurance is a secondary insurance, not a supplemental kind. My wife is under my insurance and always has been, and always will. Have been told that since I've started taking my s s benefits, I'd be automatically enrolled in Medicare. But thinking I'd like to put it off a year until she she turns 65, and then both of us use Medicare. Since my current health insurance is a secondary one, kind of muddies up the waters so just not sure what to do at this juncture? Guess being a retired federal employee under civil service complicates things. All I know is that once I pass, she'll get my pension though at a reduced percentage, probably half, as I recall. Filled out so much paperwork back then that it's hard to remember it all."
29	June 11, 2019 5:00PM	carnaught	Consider yourself lucky you don’t/didn’t have to deal with the high deductible, high premium debacle of health insurance the rest of us had to.
30	June 11, 2019 6:28PM	kyfdx	So, I should be complaining about my $2200 monthly healthcare premium?
