,product_name,product_review,user_rating,similarity_score
1,Breakfast Stout,good color no head clean and balanced with an extremely creamy texture and a strong coffee flavor overall a great rich breakfast stout with wonderful hop balance,4.07,0.765660116
2,Flora Plum,2018 releasea pours a very light pale hazy kind of berlinerlike with a cap of bright white head which quickly fizzles out to a sharp ring nicely effervescent minimal retention and no lacings moderate sour plum and grainy wheat hefty amount of barnyard funk and a hint of spicet rich juicy plum and wheat light earthy funk finishing with a crisp mediumlight tartness on a fairly lengthy finishm mediumhigh somewhat sharp carbonation light bodiedo tasty refreshing drinkable and exceptionally well balanced the sourness is restrained and the fruit is delicious,4.44,0.765198465
3,Abricot Du Fermier,this is the best sour saison i have ever had not even up for debate the apricot is the perfect star for all of the delicately balanced flavors in the original has a bit of wine dryness to go with the sour and smooth tartness that really made the mouthfeel just mindbendingly good rich complex smooth and acidic,4.75,0.758597777
4,Flora,flora is clean crisp light and tart with smooth background tones of wine and oak its simple and in its simplicity adds meaning to all of its variants,4.75,0.748413555
5,Melcher Street (Double Dry-Hopped),canned on 10918pours a bright deeply hazy orange with over a finger of semithick pillowy white head decent retention with fair bits of lacing trickling around the glassaromas of creamy orange candied pineapple melon bits of fresh grass and light plush herbal tones the citrus punch to this bouquet is level pointedly hoppy and incredibly enjoyable and easy to nosetaste is juicy orange apricot peach guava faint grass light hops and a delicate malty sweetness consistent profile packed with citrus tropical hoppy and slightly creamy notes all in the right placesmouthfeel brings slight creaminess a balanced carbonation and an excellent bigger body that betrays itself coolly with a consistent softness on the palate throughout light bitterness from the midpalate to the finish adds a refreshing hop prickleexcellent example of balance in a neipa everything is on point with a consistency never neglecting flavor while still maintaining a calm synchronicity with a varied mouthfeel never overwhelming and the type of neipa i could drink repeatedly very welldone,4.3,0.745546123
6,King Sue,the emphasis in the beer is a strong sharp hoppy finish with citrus highlights it’s a throwback to the brewing style emphasizing a hoppy edge overshadowing a citrus profile newer approaches to a dipa have more balanced citrus flavors with a more subdued hoppy finish excellent beer,4.04,0.74548771
7,Abner,abner is perfectly balanced and not a pure juice bomb the nose is pineapple and pine the taste is less citrus and maybe more pine the finish is clean but not crisp a bit of a sweetness overall an exceptional neipa,5,0.744222943
8,Saison Bernice,a moderate fruitiness with a smooth citrus lemony aroma slight spice and light tartnessa golden color slightly hazy with a thinnish white head that quickly recreates a thin film across the glasst lemony fruitiness very clean with a light spice note and moderately low tartnessm medium bodied with moderate carbonationo near perfect this beer is an amazing example of a belgian saison absolutely delicious refreshing and nearly flawless,4.59,0.742595034
9,Double Dry Hopped Fort Point Pale Ale,truly excellent well balanced and smooth double dry hopped pale ale salad hands of citra with fruit flavors as well great aroma extremely well balanced beer and drink at 66,4.73,0.741730207
10,Fuzzy,very similar to smoothdifferenceslight color from the white peachesnose is more delicate definite peach aromataste follows the bose more delicate flavor that allows the base beer to be more cohesive with the peaches instead of a punch of nectarines also slightly more acidicfeel is also more delicateoverall this is a more delicate better balanced beer than smooth if you like a more fruit forward beer smooth is where it is at however the nuance of fuzzy is fantastic you get more of the base beer and more of that great missouri micro flora,4.67,0.741250194
11,Crusher,a bit less balanced than its alchemist counterparts crusher remains a strong and bold brew packed with hops it delivers a big green bitterness youve got also some tropical fruits and citrus notes the mouthfeel is incredibly smooth nice nice nice,4.51,0.740122946
12,Upper Case,turbid apricot hues finger tall head that recedes onto an ever present ringhuge sweet trioical fruits subtle undertones of grass pine resins and bread the balance between the hops is amazingmy my mango and sharp bittering pine the bittering just cascades away the flavors are even more balanced than they were on the noseno evidence of the abv smooth and full with a juicy start and a crisp finish low carbonationsignature trillium nuanced and bold a contradiction a new favorite,4.87,0.739370557
13,Second Fiddle,canned on 3619pours a clear faintly copperish kind of gold with an ample slightly rocky white head very nice retention that results in plenty of persistent lacing and a frothy albeit bubbly collararomas of dank peach grapefruit and tropical pith comes through strongly with lighter notes of orange zest pine and bits of hoppy spice following a restrained dankness comes through in spots while a clear crisp malt backbone that dives into deeper notes of fresh rising dough and black bread crusts starts to shine on the finishtaste profile is predominantly dank herbs and fruity rind along with subtle hints of white grape must in the background great bit of restrained hoppy pithy bitterness along with some crackery malt on the finish bitter juicy and hints of sweetness this is a soft but incredibly varied ipa profilemouthfeel brings a mediumlight body with perfectly balanced carbonation crisp throughout with an underlying fluff to give it the most easygoing kind of weight across the palate this just pops on the tongue and peaks across the palate almost perfectlya true hybrid of west coast and new england style ipas with so many ipas out there now this one may have lost some of its previous luster but damnit if it isnt still one of the more universally palatepleasing examples of an ipa out there soft but balanced and showing great variety in its profile and consistency throughout this is still quietly a great ipa that shouldnt be overlooked,4.07,0.738995781
14,Fuzzy,bottle poured into fluted sniftergolden straw clear with careful pour large bubbled foamy head pops out into bubbly collar and floating islandsaroma is tart peaches mixed with ripe and sweet peaches mingling with yeasty funkfresh real peach flavor is light but not mistakable it blends perfectly with the barrel which adds a robust earthiness tart but not puckeringeffervescent moderate carbonation and drycrisp bodyoverall a well made and excellent brew light touch in every aspect combines into an incredibly balanced final product,4.6,0.737592349
15,Weihenstephaner Hefeweissbier,absolutely shocked that i had never reviewed this one before as i consider it a the defining example of the stylegolden color somewhat cloudy pours a monster head creamy and lingeringalmost a pilsner like spicy note on the nose initially a soft slightly sweet and clove nose as it warms a bit slight hint of a sweeter fruity banana kind of aromaa slightly sweet and clove flavor up front fairly balanced despite no apparent hop flavors a very rounded flavor incredibly smooth with no rough edges not overpowering with bananaclove types of flavors  fairly clean palate for a hefemf  medium body and medium to high carbonation surprisingly creamy despite the carbonationan incredibly easy drinking beer that has the hefeweizen flavor notes without being overpowering,4.46,0.73597773
16,Barrel-Aged Abraxas,it just doesnt get much better than this all the robust flavors of the base abraxas plus the additional barrel vanilla and wood notes exceptionally well balanced simply amazing,5,0.735963307
17,Heady Topper,no canning date bought at brewery on 3819 presumably canned within a week or two priorpours a cloudy golden orange topped with a massive head of white fluff spectacular head retention leaves a tapestry of thick soapy lacing as well as a thick mound of frothy caparomas of dank orange peel passionfruit grapefruit rind and sweaty pine all bursting from the forefront with clean crisp grainy malt bringing up the backbone aggressive at first but smooths out very nicely over timetaste brings plenty of citrus dank pine and clean malt in sync upfront with herbal hops only gaining steam as they build to a finish straight from the forest floor dank bitter pine sweaty earthy hops and malty red berries superior depth and intensity to this profile with that little bit extra to push it over the edge while maintaining an overall harmonymouthfeel shows a mediumheavy body that is thick yet carries itself very well and is topped off with a perfectly balanced medium carbonation dense but balanced hoppiness is evened by malt to make for a semibitter but still primarily juicy finish remains incredible in its weight on the palate while never becoming downright unapproachablethis brew keeps an intensity only rivaled by its balance while there’s a ton of depth here that doesn’t challenge its overall drinkability a uniquely flavorful and relentless hop experience that has me understanding why it’s a classic,4.44,0.731766992
