	product_name	product_review	user_rating
0	Kentucky Brunch Brand Stout	2016 Silver Wax. Aroma has whiskey, maple, toffee and umami. Taste has wood barrel, umami, dark fruit, maple and toffee. Bitter cacao and coffee aftertaste.	4.8
1	Kentucky Brunch Brand Stout	The beer pours Pitch Black with a frothy tan head. The bottle gushed when I opened it. It smells and tastes of maple syrup, coffee, creams brûlée, vanilla, and warm bourbon. The feel is slick and smooth.	4.74
2	Kentucky Brunch Brand Stout	Probably the smoothest beer I have ever had. Smelled better than it tasted. Lots of notes on the nose from vanilla to caramel/Maple to figs, but the taste didn't follow suit and it mostly being Maple supported by the others notes on the nose and barrel. No discernible alcohol present but the bourbon flavor was there from start to finish. Carbonation was lacking and would have helped the beer. Overall this was an excellent beer on par with Mexican Cake Reserva.	4.68
3	Kentucky Brunch Brand Stout	Dark black, very thick, a little bit of tan head. Smells amazing - coffee and a little bit of maple jump out at you, along with chocolate and vanilla and other sweet smells. The taste is no letdown either, coffee is more up front, and maple is on the back end, with a lot of caramel / chocolate / dark fruit in the middle. Super thick mouthfeel with zero alcohol burn.. I was fully prepared to be disappointed by this beer - not that I expected it to be bad, but just that it might not blow me away. I was wrong. Probably the best beer I've ever had.	5
4	Kentucky Brunch Brand Stout	Poured black as ink with thin ruby edges at 58 degrees; fast fizzy cinnamon brown head; no cap retention, ring or lace; medium legs on swirl. Strong maple nose with molasses and roast coffee grind right behind. Sweet maple syrup and molasses up front; bitter roast coffee; dark fruit - cherries and plums with chocolate middle; no booze; maple and coffee on backend. Thick almost chewy feel; heavy full body; rich velvety tongue coating; no barrel or astringency; warming from 12%; creamy feel/linger on tongue. Overall awesome; strong long lasting maple nose; main flavors are in harmony; subtle dark fruit and chocolate notes add layers complimenting the whole; no hint of whiskey or barrel notes; and the feel is superb; world class!	4.97
5	Kentucky Brunch Brand Stout	she’s got heat....but man is she somethin nice! lots of barrel presence. maple goodness on the nose. thick and chewy. flavor is all barrel, booze and molasses. What a treat.	4.75
6	Kentucky Brunch Brand Stout	Amazing brew. The maple aroma pours out of this bottle upon cracking. The pour was pitch black with a nice brownish red head. Carbonation holds and the beer is thicc AF	5
7	Kentucky Brunch Brand Stout	Finally got to try the white whale. Pours like syrup, smells like syrup. Seems like it should be just a perfect beer, but I don't think TG does coffee as well as the other best breweries. I definitely got some green pepper.	4.3
8	Kentucky Brunch Brand Stout	Had this on tap at the 12-15-18 release in Decorah. The aroma on this was amazing and was a step above the flavor. This beer is a very good mix of coffee, barrel and maple but just shy of a perfect rating. Maybe because the expectations are so crazy high?	4.85
9	Kentucky Brunch Brand Stout	Had this on tap At the KBBS release 12/15/18 pour was super dark, no head even when i attempted to swirl it. great aroma, lots of coffee and barrel. Taste was silky velvety smooth. Overall an amazing beer.	4.89
10	Kentucky Brunch Brand Stout	Great beer, but didn't seem to be worth the hype. For a $1000 secondary market, should have been perfect, and just failed to miss the mark for me. The nose was incredible, but the taste almost had a metallic tinge to it.	4.3
11	Kentucky Brunch Brand Stout	"Batch one, 2013, Enjoyed at GAB bottle share
Pitch black thick oily rich, thick legs, touch of head. Nose loads of maple thick dark chocolate, cocoa, hint Smokey, roasty coffee, coffee syrup, nice barrel vanilla and thick maple, vanilla ice cream. Taste velvety creamy smooth thick dark chocolate, cocoa, big maple syrup, vanilla ice cream, touch of Smokey, roasty coffee, lurker nutty coffee and hint of bitterness, mild toasted oak vanilla barrel, no booze, earthy coffee late, thick dark chocolate.  618 characters"	4.91
